Nombre,symbol,symbol_local,Cod_Caja,ISIN_Cedear,ISIN_Suby,CUSIP,ratio
ABBOTT LABORATORIES,ABT,ABT.BA,8065,ARDEUT110608,US0028241000,002824100,2
ARCONIC INC,ARNC,ARNC.BA,8007,ARDEUT110020,US03965L1008,03965L100,1
AEGON NV,AEG,AEG.BA,8242,ARDEUT112398,US0079241032,007924103,1
"ALTRIA GROUP, INC",MO,MO.BA,8036,ARDEUT110327,US02209S1033,02209S103,4
ALUMINUM CORP OF CHINA,ACH,ACH.BA,8365,ARDEUT113990,US0222761092,022276109,1.6941176470588272e-15
AMERICA MOVIL - ADR SERIES L,AMX,AMX.BA,8268,ARDEUT112646,US02364W1053,02364W105,1
AMERICAN EXPRESS Co.,AXP,AXP.BA,8009,ARDEUT110046,US0258161092,025816109,5
AMERICAN INTERNATIONAL GROUP INC (AIG),AIG,AIG.BA,8069,ARDEUT110640,US0268747849,026874784,5
AMGEN INC.,AMGN,AMGN.BA,8071,ARDEUT110665,US0311621009,031162100,5
ANALOG DEVICES INC.,ADI,ADI.BA,8066,ARDEUT110616,US0326541051,032654105,3
APPLE INC.,AAPL,AAPL.BA,8445,ARDEUT116183,US0378331005,037833100,10
APPLIED MATERIALS INC.,AMAT,AMAT.BA,8070,ARDEUT110657,US0382221051,038222105,5
AT&T INC,T,T.BA,8177,ARDEUT111713,US00206R1023,00206R102,3
AUTOMATIC DATA PROCESSING INC,ADP,ADP.BA,8073,ARDEUT110681,US0530151036,053015103,2
AVERY DENNISON CORPORATION,AVY,AVY.BA,8075,ARDEUT110707,US0536111091,053611109,3
AVIS BUDGET GROUP INC.,CAR,CAR.BA,8087,ARDEUT110822,US0537741052,53774105,1
Natura & Co Holding S.A.,NTCO,NTCO.BA,8074,ARDEUT110699,US63884M1081,63884N108,1
ASTRAZENECA PLC - ADR,AZN,AZN.BA,8244,ARDEUT112489,US0463531089,046353108,2
BANCO BILBAO VIZCAYA-SP ADR,BBVA,BBVA.BA,8229,ARDEUT112232,US05946K1016,05946K101,1
"BANCO BRADESCO, S.A.",BBD,BBD.BA,8431,ARDEUT116001,US0594603039,59460303,1
BANCO SANTANDER (BRASIL) S.A.,BSBR,BSBR.BA,8430,ARDEUT115995,US05967A1079,05967A107,1
BANK OF AMERICA CORPORATION,BAC,BAC.BA,8281,ARDEUT112851,US0605051046,60505104,2
BARCLAYS BANK plc ADR,BCS,BCS.BA,8183,ARDEUT111770,US06738E2046,06738E204,1
BHP GROUP LTD,BHP,BHP.BA,8295,ARDEUT112992,US0886061086,088606108,1
BOEING Co.,BA,BA.BA,8011,ARDEUT110061,US0970231058,097023105,3
BP  plc. ADR,BP,BP.BA,8063,ARDEUT110582,US0556221044,55622104,5
BRISTOL MYERS SQUIBB COMPANY,BMY,BMY.BA,8283,ARDEUT112877,US1101221083,110122108,1
CANON INC.,CAJ,CAJ.BA,8292,ARDEUT112968,US1380063099,138006309,2
CARDINAL HEALTH INC,CAH,CAH.BA,8084,ARDEUT110798,US14149Y1082,14149Y108,3
CATERPILLAR Inc.,CAT,CAT.BA,8012,ARDEUT110079,US1491231015,149123101,5
